FalsosPositivos,ServidorCI,Tecnologia,Acoplamiento,Herramienta
90,GitHub,PHP,Alto,SonarQube
106,CircleCI,PHP,Alto,Checkmark
108,Jenkins,PHP,Alto,Veracode
81,Bitbucket,PHP,Bajo,SonarQube
90,GitLab,PHP,Bajo,Veracode
88,Bamboo,PHP,Bajo,Checkmark
114,GitHub,Java,Alto,Veracode
96,CircleCI,Java,Alto,SonarQube
105,Jenkins,Java,Alto,Checkmark
83,Bitbucket,Java,Bajo,Veracode
86,GitLab,Java,Bajo,Checkmark
84,Bamboo,Java,Bajo,SonarQube
102,GitHub,Python,Alto,Checkmark
90,CircleCI,Python,Bajo,Checkmark
95,Jenkins,Python,Bajo,Veracode
92,Bitbucket,Python,Alto,SonarQube
85,GitLab,Python,Bajo,SonarQube
104,Bamboo,Python,Alto,Veracode
87,GitHub,C#,Bajo,Checkmark
84,CircleCI,C#,Bajo,SonarQube
100,Jenkins,C#,Alto,SonarQube
96,Bitbucket,C#,Alto,Checkmark
110,GitLab,C#,Alto,Veracode
91,Bamboo,C#,Bajo,Veracode
93,GitHub,JavaScript,Bajo,Veracode
112,CircleCI,JavaScript,Alto,Veracode
92,Jenkins,JavaScript,Bajo,SonarQube
80,Bitbucket,JavaScript,Bajo,Checkmark
90,GitLab,JavaScript,Alto,SonarQube
98,Bamboo,JavaScript,Alto,Checkmark
86,GitHub,Ruby,Bajo,SonarQube
91,CircleCI,Ruby,Bajo,Veracode
97,Jenkins,Ruby,Bajo,Checkmark
98,Bitbucket,Ruby,Alto,Veracode
100,GitLab,Ruby,Alto,Checkmark
92,Bamboo,Ruby,Alto,SonarQube
